Address,Bathrooms,Beds,tax,post_code,type,rooms,Price
"50 BURNSIDE AVENUE UNIT#505, ",1,2,1886,"Ottawa, ON, K1C 4P1",House,1,399900
"296 ATLANTIS AVENUE, ",4,3,6238,"Ottawa, ON, K2E 7R2",House,20,1499900
"474 BEVAN AVENUE, ",4,3,7003,"Ottawa, ON, K2P 2N7",House,2,1499900
"30 CHARLEVOIX Street 503, ",2,2,3332,"Ottawa, ON, K1C 2J4",House,13,399900
"247 GRANVILLE STREET UNIT#A & B, ",4,5,4117,"Ottawa, ON, K1R 1E2",Condo,8,898000
"107A PRINCE ALBERT Street, ",3,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,995000
"44 PARK Avenue, ",3,4,4296,"Ottawa, ON, K1V 6T8",House,2,1395000
"8 ROBINSON AVENUE, ",1,2,2300,"Ottawa, ON, K1J 8T9",Condo,11,449900
"75 CLEARY Avenue 1206, ",2,2,2283,"Ottawa, ON, K1G 5R5",Condo,8,639000
"1317 AVENUE Q Avenue, ",2,2,6238,"Ottawa, ON, K2E 7R2",House,20,650000
"1459 BETHAMY Lane, ",2,3,7003,"Ottawa, ON, K2P 2N7",House,2,384900
"267 BOOTH Street, ",1,3,4117,"Ottawa, ON, K1R 1E2",Condo,8,640000
"255 BAY Street 211, ",1,0,3134,"Ottawa, ON, K1R 7W9",House,1,285000
"158B MCARTHUR Avenue 1206, ",1,2,2796,"Ottawa, ON, K1J 1K5",Condo,10,289000
"107 COLUMBIA AVENUE, ",4,5,1886,"Ottawa, ON, K1C 4P1",House,1,975000
"238 BESSERER STREET UNIT#613, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,599900
"22 SANDCLIFFE TERRACE, ",3,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,599000
"200 LAFONTAINE Avenue 707, ",2,2,6238,"Ottawa, ON, K2E 7R2",House,20,298500
"6501 A BILBERRY DRIVE, ",2,2,3332,"Ottawa, ON, K1C 2J4",House,13,349900
"3310 SOUTHGATE ROAD UNIT#234, ",1,3,3134,"Ottawa, ON, K1R 7W9",House,1,379900
"509 KING EDWARD AVENUE UNIT#1, ",3,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,629000
"226 WILBROD STREET UNIT#2, ",3,3,1886,"Ottawa, ON, K1C 4P1",House,1,649000
"1875 SHAREL Drive, ",2,5,4296,"Ottawa, ON, K1V 6T8",House,2,949000
"265 BOTANICA Private 92, ",2,2,2300,"Ottawa, ON, K1J 8T9",Condo,11,575900
"673 TWEEDSMUIR AVENUE, ",2,4,7003,"Ottawa, ON, K2P 2N7",House,2,1298000
"842B ALPINE AVENUE, ",5,5,3332,"Ottawa, ON, K1C 2J4",House,13,1179999
"24 & 26 CONCORD STREET N, ",4,6,3134,"Ottawa, ON, K1R 7W9",House,1,949900
"518 RIVERDALE AVENUE, ",2,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,9e+05
"105 CHAMPAGNE AVENUE S UNIT#302, ",2,2,7003,"Ottawa, ON, K2P 2N7",House,2,489000
"5 LEONARD AVENUE, ",3,3,3332,"Ottawa, ON, K1C 2J4",House,13,1199900
"530 DE MAZENOD AVENUE UNIT#501, ",1,0,3134,"Ottawa, ON, K1R 7W9",House,1,349900
"1643 MEADOWBROOK ROAD, ",2,4,1886,"Ottawa, ON, K1C 4P1",House,1,439900
"314-316 WESTHILL AVENUE, ",6,10,4296,"Ottawa, ON, K1V 6T8",House,2,2950000
"666-668B GARDENVALE Road, ",4,12,7003,"Ottawa, ON, K2P 2N7",House,2,999000
"1091 ALDEA AVENUE, ",3,6,3134,"Ottawa, ON, K1R 7W9",House,1,799900
"161 KING EDWARD AVENUE, ",3,4,2796,"Ottawa, ON, K1J 1K5",Condo,10,699900
"1085 CANAL WOODS TERRACE, ",1,3,1886,"Ottawa, ON, K1C 4P1",House,1,799000
"2822 BASELINE ROAD, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,445000
"100 ONTARIO STREET, ",2,4,2300,"Ottawa, ON, K1J 8T9",Condo,11,849900
"75 CLEARY AVENUE UNIT#203, ",2,2,2283,"Ottawa, ON, K1G 5R5",Condo,8,6e+05
"242 RIDEAU STREET UNIT#1403, ",1,1,6238,"Ottawa, ON, K2E 7R2",House,20,439000
"100 MARRISSA AVENUE, ",3,3,7003,"Ottawa, ON, K2P 2N7",House,2,799900
"173 ARMSTRONG STREET, ",3,3,4117,"Ottawa, ON, K1R 1E2",Condo,8,1050000
"635 RICHMOND ROAD UNIT#5, ",2,1,3134,"Ottawa, ON, K1R 7W9",House,1,545000
"2409 CARLSEN AVENUE, ",3,3,4296,"Ottawa, ON, K1V 6T8",House,2,1495000
"200 BESSERER STREET UNIT#210, ",1,1,7003,"Ottawa, ON, K2P 2N7",House,2,424900
"2045 FEATHERSTON Drive, ",2,6,4117,"Ottawa, ON, K1R 1E2",Condo,8,749900
"457 LAURIER AVENUE E, ",3,5,2796,"Ottawa, ON, K1J 1K5",Condo,10,1949000
"140 SPRINGHURST AVENUE UNIT#8, ",3,2,1886,"Ottawa, ON, K1C 4P1",House,1,649990
"12 BEDALE Drive, ",3,3,4296,"Ottawa, ON, K1V 6T8",House,2,785000
"555 ANAND PRIVATE UNIT#102, ",2,1,2300,"Ottawa, ON, K1J 8T9",Condo,11,398900
"1025 GRENON AVENUE UNIT#1013, ",1,1,6238,"Ottawa, ON, K2E 7R2",House,20,350000
"116 MONTEREY DRIVE, ",2,3,3332,"Ottawa, ON, K1C 2J4",House,13,489000
"203 CATHERINE Street 504, ",1,0,4117,"Ottawa, ON, K1R 1E2",Condo,8,299000
"116 BOTELER DRIVE, ",2,3,3134,"Ottawa, ON, K1R 7W9",House,1,639900
"203 CATHERINE STREET UNIT#615, ",1,1,2796,"Ottawa, ON, K1J 1K5",Condo,10,479900
"48 COLLEGE CIRCLE, ",2,3,1886,"Ottawa, ON, K1C 4P1",House,1,645000
"179 GEORGE STREET UNIT#1409, ",1,1,2283,"Ottawa, ON, K1G 5R5",Condo,8,350000
"2589 Egan Rd, ",2,3,6238,"Ottawa, ON, K2E 7R2",House,20,709900
"300 LISGAR STREET UNIT#605, ",1,1,3332,"Ottawa, ON, K1C 2J4",House,13,399000
"99 DOANE STREET, ",2,4,4117,"Ottawa, ON, K1R 1E2",Condo,8,549900
"170 WHISPERING WINDS WAY, ",3,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,874900
"139 ST ANDREW Street, ",2,4,2283,"Ottawa, ON, K1G 5R5",Condo,8,769900
"31 SILVER ASPEN CRESCENT, ",4,4,7003,"Ottawa, ON, K2P 2N7",House,2,735000
"2924 FAIRLEA Crescent, ",2,4,3332,"Ottawa, ON, K1C 2J4",House,13,350000
"529 KIRKWOOD AVENUE, ",1,3,4117,"Ottawa, ON, K1R 1E2",Condo,8,599900
"375 # B MADISON AVENUE, ",4,3,3134,"Ottawa, ON, K1R 7W9",House,1,1495000
"300 LISGAR STREET UNIT#1206, ",1,1,2796,"Ottawa, ON, K1J 1K5",Condo,10,349900
"2706 PRISCILLA Street, ",2,3,4296,"Ottawa, ON, K1V 6T8",House,2,659900
"206 ANNAPOLIS Circle, ",4,6,2300,"Ottawa, ON, K1J 8T9",Condo,11,995000
"1940 Michigan Ave, ",2,5,2283,"Ottawa, ON, K1G 5R5",Condo,8,874900
"270 LORRY GREENBERG DRIVE UNIT#101, ",1,2,6238,"Ottawa, ON, K2E 7R2",House,20,348900
"1025 GRENON AVENUE UNIT#802, ",2,2,7003,"Ottawa, ON, K2P 2N7",House,2,369000
"84 STONEBRIAR DRIVE, ",3,3,3332,"Ottawa, ON, K1C 2J4",House,13,650000
"199 SLATER STREET UNIT#2110, ",1,1,4117,"Ottawa, ON, K1R 1E2",Condo,8,429900
"376 LISGAR STREET, ",2,2,1886,"Ottawa, ON, K1C 4P1",House,1,799000
"101 RICHMOND ROAD UNIT#406, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,624900
"2785 BASELINE ROAD UNIT#302, ",2,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,495000
"11 OBLATS AVENUE UNIT#507, ",2,2,2283,"Ottawa, ON, K1G 5R5",Condo,8,939000
"95 BEECH STREET UNIT#208, ",1,2,6238,"Ottawa, ON, K2E 7R2",House,20,679900
"577 TILLBURY AVENUE W, ",2,3,7003,"Ottawa, ON, K2P 2N7",House,2,765000
"9 GRAHAM Avenue, ",4,5,4117,"Ottawa, ON, K1R 1E2",Condo,8,1350000
"110 CENTREPOINTE DRIVE UNIT#I, ",3,2,3134,"Ottawa, ON, K1R 7W9",House,1,485000
"160 GEORGE Street 1605, ",2,2,2796,"Ottawa, ON, K1J 1K5",Condo,10,639900
"1465 EDGECLIFFE AVENUE, ",3,5,1886,"Ottawa, ON, K1C 4P1",House,1,949000
"245 KENT STREET UNIT#1108, ",1,1,2300,"Ottawa, ON, K1J 8T9",Condo,11,425000
"283 CAMBRIDGE N Street, ",2,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,699900
"1380 PRINCE OF WALES DRIVE UNIT#207, ",1,2,6238,"Ottawa, ON, K2E 7R2",House,20,320000
"160 GEORGE STREET UNIT#1605, ",2,2,7003,"Ottawa, ON, K2P 2N7",House,2,639900
"179 METCALFE STREET UNIT#2109, ",2,2,3332,"Ottawa, ON, K1C 2J4",House,13,889000
"1456 HEATHERINGTON ROAD UNIT#H, ",1,2,4117,"Ottawa, ON, K1R 1E2",Condo,8,395000
"2636 REGINA STREET, ",3,8,2796,"Ottawa, ON, K1J 1K5",Condo,10,1075000
"589 Island Park Cres, ",4,4,1886,"Ottawa, ON, K1C 4P1",House,1,2150000
"28 - 42 Compata Way, ",2,3,4296,"Ottawa, ON, K1V 6T8",House,2,439900
"5 Great Oak Private, ",3,4,2300,"Ottawa, ON, K1J 8T9",Condo,11,779000
"21 COMMANCHE DRIVE, ",5,5,2283,"Ottawa, ON, K1G 5R5",Condo,8,1799900
"38 MARLBOROUGH Avenue, ",5,8,6238,"Ottawa, ON, K2E 7R2",House,20,1750000
"2361 RYDER Street, ",3,5,4117,"Ottawa, ON, K1R 1E2",Condo,8,799000
"35 MURRAY Street 213, ",2,2,1886,"Ottawa, ON, K1C 4P1",House,1,549000
"35 MURRAY STREET UNIT#213, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,549000
"381 MONTFORT Street, ",1,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,699900
"70 LANDRY Street 1906, ",1,1,2283,"Ottawa, ON, K1G 5R5",Condo,8,479900
"101 QUEEN STREET UNIT#1206, ",1,1,3332,"Ottawa, ON, K1C 2J4",House,13,718000
"102 YORKBERRY GATE, ",3,4,4296,"Ottawa, ON, K1V 6T8",House,2,899900
"255 BAY Street 307, ",1,0,6238,"Ottawa, ON, K2E 7R2",House,20,299900
"2915 MILLSTREAM WAY, ",3,3,3332,"Ottawa, ON, K1C 2J4",House,13,649900
"128 QUEEN MARY STREET, ",2,2,4117,"Ottawa, ON, K1R 1E2",Condo,8,599500
"121 THE ROCKERY PRIVATE, ",2,5,2300,"Ottawa, ON, K1J 8T9",Condo,11,548800
"40 BOTELER STREET UNIT#1204, ",4,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,2e+06
"181 BOREALIS CRESCENT, ",3,5,6238,"Ottawa, ON, K2E 7R2",House,20,1099999
"40 NEPEAN STREET UNIT#2105, ",1,1,7003,"Ottawa, ON, K2P 2N7",House,2,560000
"174 STANLEY AVENUE UNIT#201, ",2,1,3332,"Ottawa, ON, K1C 2J4",House,13,650000
"100 GRANT CARMAN Drive 216, ",2,2,1886,"Ottawa, ON, K1C 4P1",House,1,479000
"101 QUEEN STREET UNIT#903, ",1,1,4296,"Ottawa, ON, K1V 6T8",House,2,505000
"100 GRANT CARMAN DRIVE UNIT#216, ",2,2,2300,"Ottawa, ON, K1J 8T9",Condo,11,479000
"G - 1480 Heatherington Rd, ",1,2,2283,"Ottawa, ON, K1G 5R5",Condo,8,339000
"101 QUEEN STREET UNIT#903, ",1,1,6238,"Ottawa, ON, K2E 7R2",House,20,505000
"108 LISGAR Street 1801, ",3,2,4117,"Ottawa, ON, K1R 1E2",Condo,8,2075000
"135 BARRETTE STREET UNIT#PH3, ",3,4,3134,"Ottawa, ON, K1R 7W9",House,1,4600000
"203 CATHERINE STREET UNIT#403, ",2,2,2796,"Ottawa, ON, K1J 1K5",Condo,10,599900
"1014 BANK STREET UNIT#500, ",1,1,4296,"Ottawa, ON, K1V 6T8",House,2,459900
"123 PAMILLA ST, ",5,4,2300,"Ottawa, ON, K1J 8T9",Condo,11,899900
